sample	sample	Batch
GSM139380	GSM139380	1
GSM139381	GSM139381	1
GSM139377	GSM139377	1
GSM139382	GSM139382	1
GSM139383	GSM139383	1
GSM139384	GSM139384	1
GSM139378	GSM139378	1
GSM139379	GSM139379	1
GSM139412	GSM139412	1
GSM139418	GSM139418	1
GSM139419	GSM139419	1
GSM139385	GSM139385	1
GSM139420	GSM139420	1
GSM139386	GSM139386	1
GSM139387	GSM139387	1
GSM139388	GSM139388	1
GSM139389	GSM139389	1
GSM139390	GSM139390	1
GSM139391	GSM139391	1
GSM139392	GSM139392	1
GSM139393	GSM139393	1
GSM139394	GSM139394	1
GSM139395	GSM139395	1
GSM139396	GSM139396	1
GSM139397	GSM139397	1
GSM139398	GSM139398	1
GSM139399	GSM139399	1
GSM139400	GSM139400	1
GSM139401	GSM139401	1
GSM139402	GSM139402	1
GSM139403	GSM139403	1
GSM139404	GSM139404	1
GSM139405	GSM139405	1
GSM139406	GSM139406	1
GSM139407	GSM139407	1
GSM139408	GSM139408	1
GSM139409	GSM139409	1
GSM139410	GSM139410	1
GSM139411	GSM139411	1
GSM139413	GSM139413	1
GSM139414	GSM139414	1
GSM139415	GSM139415	1
GSM139416	GSM139416	1
GSM139421	GSM139421	1
GSM139417	GSM139417	1
GSM139429	GSM139429	1
GSM139430	GSM139430	1
GSM139431	GSM139431	1
GSM139432	GSM139432	1
GSM139422	GSM139422	1
GSM139433	GSM139433	1
GSM139423	GSM139423	1
GSM139424	GSM139424	1
GSM139425	GSM139425	1
GSM139434	GSM139434	1
GSM139426	GSM139426	1
GSM139427	GSM139427	1
GSM139428	GSM139428	1
GSM139476	GSM139476	1
GSM139477	GSM139477	1
GSM139478	GSM139478	1
GSM139479	GSM139479	1
GSM139463	GSM139463	1
GSM139459	GSM139459	1
GSM139470	GSM139470	1
GSM139458	GSM139458	1
GSM139460	GSM139460	1
GSM139461	GSM139461	1
GSM139462	GSM139462	1
GSM139464	GSM139464	1
GSM139465	GSM139465	1
GSM139466	GSM139466	1
GSM139467	GSM139467	1
GSM139468	GSM139468	1
GSM139471	GSM139471	1
GSM139469	GSM139469	1
GSM139472	GSM139472	1
GSM139473	GSM139473	1
GSM139474	GSM139474	1
GSM139475	GSM139475	1
GSM139436	GSM139436	1
GSM139438	GSM139438	1
GSM139439	GSM139439	1
GSM139440	GSM139440	1
GSM139441	GSM139441	1
GSM139442	GSM139442	1
GSM139443	GSM139443	1
GSM139444	GSM139444	1
GSM139445	GSM139445	1
GSM139446	GSM139446	1
GSM139447	GSM139447	1
GSM139448	GSM139448	1
GSM139449	GSM139449	1
GSM139450	GSM139450	1
GSM139451	GSM139451	1
GSM139452	GSM139452	1
GSM139453	GSM139453	1
GSM139454	GSM139454	1
GSM139455	GSM139455	1
GSM139456	GSM139456	1
GSM139457	GSM139457	1
GSM139435	GSM139435	1
GSM139437	GSM139437	1
GSM72460	GSM72460	2
GSM72407	GSM72407	2
GSM72444	GSM72444	2
GSM72423	GSM72423	2
GSM72483	GSM72483	2
GSM72394	GSM72394	2
GSM72481	GSM72481	2
GSM72455	GSM72455	2
GSM72397	GSM72397	2
GSM72445	GSM72445	2
GSM72428	GSM72428	2
GSM72425	GSM72425	2
GSM72418	GSM72418	2
GSM72468	GSM72468	2
GSM72408	GSM72408	2
GSM72450	GSM72450	2
GSM72461	GSM72461	2
GSM72413	GSM72413	2
GSM72412	GSM72412	2
GSM72417	GSM72417	2
GSM72464	GSM72464	2
GSM72442	GSM72442	2
GSM72484	GSM72484	2
GSM72465	GSM72465	2
GSM72429	GSM72429	2
GSM72436	GSM72436	2
GSM72399	GSM72399	2
GSM72476	GSM72476	2
GSM72438	GSM72438	2
GSM72486	GSM72486	2
GSM72432	GSM72432	2
GSM72435	GSM72435	2
GSM72441	GSM72441	2
GSM72406	GSM72406	2
GSM72458	GSM72458	2
GSM72424	GSM72424	2
GSM72466	GSM72466	2
GSM72475	GSM72475	2
GSM72496	GSM72496	2
GSM72499	GSM72499	2
GSM72495	GSM72495	2
GSM72498	GSM72498	2
GSM72497	GSM72497	2
GSM72416	GSM72416	2
GSM72431	GSM72431	2
GSM72477	GSM72477	2
GSM72469	GSM72469	2
GSM72474	GSM72474	2
GSM72430	GSM72430	2
GSM72447	GSM72447	2
GSM72419	GSM72419	2
GSM72491	GSM72491	2
GSM72478	GSM72478	2
GSM72488	GSM72488	2
GSM72448	GSM72448	2
GSM72470	GSM72470	2
GSM72414	GSM72414	2
GSM72490	GSM72490	2
GSM72487	GSM72487	2
GSM72409	GSM72409	2
GSM72443	GSM72443	2
GSM72415	GSM72415	2
GSM72437	GSM72437	2
GSM72400	GSM72400	2
GSM72457	GSM72457	2
GSM72467	GSM72467	2
GSM72439	GSM72439	2
GSM72473	GSM72473	2
GSM72398	GSM72398	2
GSM72456	GSM72456	2
GSM72404	GSM72404	2
GSM72454	GSM72454	2
GSM72453	GSM72453	2
GSM72485	GSM72485	2
GSM72452	GSM72452	2
GSM72405	GSM72405	2
GSM72462	GSM72462	2
GSM72446	GSM72446	2
GSM72459	GSM72459	2
GSM72480	GSM72480	2
GSM72493	GSM72493	2
GSM72422	GSM72422	2
GSM72451	GSM72451	2
GSM72463	GSM72463	2
GSM72449	GSM72449	2
GSM72482	GSM72482	2
GSM72494	GSM72494	2
GSM72427	GSM72427	2
GSM72479	GSM72479	2
GSM72489	GSM72489	2
GSM72440	GSM72440	2
GSM72492	GSM72492	2
GSM72426	GSM72426	2
GSM72403	GSM72403	2
GSM162194	GSM162194	3
GSM162193	GSM162193	3
GSM162192	GSM162192	3
GSM162191	GSM162191	3
GSM162190	GSM162190	3
GSM162189	GSM162189	3
GSM162188	GSM162188	3
GSM162187	GSM162187	3
GSM162186	GSM162186	3
GSM162185	GSM162185	3
GSM162184	GSM162184	3
GSM162183	GSM162183	3
GSM162182	GSM162182	3
GSM162181	GSM162181	3
GSM162180	GSM162180	3
GSM162179	GSM162179	3
GSM162178	GSM162178	3
GSM162177	GSM162177	3
GSM162176	GSM162176	3
GSM162175	GSM162175	3
GSM162174	GSM162174	3
GSM162173	GSM162173	3
GSM162172	GSM162172	3
GSM162171	GSM162171	3
GSM162170	GSM162170	3
GSM162169	GSM162169	3
GSM162168	GSM162168	3
GSM162167	GSM162167	3
GSM162166	GSM162166	3
GSM162165	GSM162165	3
GSM162164	GSM162164	3
GSM162163	GSM162163	3
GSM162162	GSM162162	3
GSM162161	GSM162161	3
GSM162160	GSM162160	3
GSM162159	GSM162159	3
GSM162158	GSM162158	3
GSM162157	GSM162157	3
GSM162156	GSM162156	3
GSM162155	GSM162155	3
GSM162154	GSM162154	3
GSM162153	GSM162153	3
GSM162152	GSM162152	3
GSM162151	GSM162151	3
GSM162150	GSM162150	3
GSM162149	GSM162149	3
GSM162148	GSM162148	3
GSM540373	GSM540373	4
GSM540372	GSM540372	4
GSM540371	GSM540371	4
GSM540369	GSM540369	4
GSM540368	GSM540368	4
GSM540366	GSM540366	4
GSM540365	GSM540365	4
GSM540364	GSM540364	4
GSM540362	GSM540362	4
GSM540361	GSM540361	4
GSM540360	GSM540360	4
GSM540359	GSM540359	4
GSM540357	GSM540357	4
GSM540356	GSM540356	4
GSM540355	GSM540355	4
GSM540353	GSM540353	4
GSM540352	GSM540352	4
GSM540351	GSM540351	4
GSM540348	GSM540348	4
GSM540345	GSM540345	4
GSM540331	GSM540331	4
GSM540325	GSM540325	4
GSM540310	GSM540310	4
GSM540307	GSM540307	4
GSM540304	GSM540304	4
GSM540302	GSM540302	4
GSM540294	GSM540294	4
GSM540292	GSM540292	4
GSM540291	GSM540291	4
GSM540288	GSM540288	4
GSM540285	GSM540285	4
GSM540282	GSM540282	4
GSM540281	GSM540281	4
GSM540276	GSM540276	4
GSM540273	GSM540273	4
GSM540271	GSM540271	4
GSM540267	GSM540267	4
GSM540264	GSM540264	4
