GSM162194	NO_KIDNEY_12
GSM162193	NO_KIDNEY_11
GSM162192	NO_KIDNEY_10
GSM162191	NO_KIDNEY_9
GSM162190	NO_KIDNEY_8
GSM162189	NO_KIDNEY_7
GSM162188	NO_KIDNEY_6
GSM162187	NO_KIDNEY_5
GSM162186	NO_KIDNEY_4
GSM162185	NO_KIDNEY_3
GSM162184	NO_KIDNEY_2
GSM162183	NO_KIDNEY_1
GSM162182	P2B_KIDNEY_12
GSM162181	P2B_KIDNEY_11
GSM162180	P2B_KIDNEY_10
GSM162179	P2B_KIDNEY_9
GSM162178	P2B_KIDNEY_8
GSM162177	P2B_KIDNEY_7
GSM162176	P2B_KIDNEY_6
GSM162175	P2B_KIDNEY_5
GSM162174	P2B_KIDNEY_4
GSM162173	P2B_KIDNEY_3
GSM162172	P2B_KIDNEY_2
GSM162171	P2B_KIDNEY_1
GSM162170	P2A_KIDNEY_4
GSM162169	P2A_KIDNEY_3
GSM162168	P2A_KIDNEY_2
GSM162167	P2A_KIDNEY_1
GSM162166	P1.2A_KIDNEY_5
GSM162165	P1.2A_KIDNEY_4
GSM162164	P1.2A_KIDNEY_3
GSM162163	P1.2A_KIDNEY_2
GSM162162	P1.2A_KIDNEY_1
GSM162161	P1_KIDNEY_14
GSM162160	P1_KIDNEY_13
GSM162159	P1_KIDNEY_12
GSM162158	P1_KIDNEY_11
GSM162157	P1_KIDNEY_10
GSM162156	P1_KIDNEY_9
GSM162155	P1_KIDNEY_8
GSM162154	P1_KIDNEY_7
GSM162153	P1_KIDNEY_6
GSM162152	P1_KIDNEY_5
GSM162151	P1_KIDNEY_4
GSM162150	P1_KIDNEY_3
GSM162149	P1_KIDNEY_2
GSM162148	P1_KIDNEY_1
