Source Name	Characteristics [Organism]	Description	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE3218GSM72397	Homo sapiens	germ cell tumor:  Adult Male Germ Cell Tumor. mixed GCT (Embryonal Carcinoma, Teratoma, Teratoma with secondary somatic malignancy)	GSE3218GSM72397 sample	P-G3218-2	GSE3218GSM72397 extract	total_RNA	P-G3218-1	GSE3218GSM72397 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	germ cell tumors (GCT) and normal controls 171A 2	A-AFFY-33	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-33	P-AFFY-6	germ cell tumors (GCT) and normal controls 171A 2	GSM72397.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.raw.1.zip	E-GEOD-3218-processed-data-1627156126.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.processed.1.zip
GSE3218GSM72354	Homo sapiens	germ cell tumor:  Adult Male Germ Cell Tumor. mixed GCT (Embryonal Carcinoma, Yolk Sac Tumor, Teratoma)	GSE3218GSM72354 sample	P-G3218-2	GSE3218GSM72354 extract	total_RNA	P-G3218-1	GSE3218GSM72354 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	germ cell tumors (GCT) and normal controls 479A 1	A-AFFY-34	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-34	P-AFFY-6	germ cell tumors (GCT) and normal controls 479A 1	GSM72354.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.raw.1.zip	E-GEOD-3218-processed-data-1627155500.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.processed.1.zip
GSE3218GSM72419	Homo sapiens	germ cell tumor:  Adult Male Germ Cell Tumor. pure GCT (Teratoma)	GSE3218GSM72419 sample	P-G3218-2	GSE3218GSM72419 extract	total_RNA	P-G3218-1	GSE3218GSM72419 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	germ cell tumors (GCT) and normal controls 228A 2	A-AFFY-33	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-33	P-AFFY-6	germ cell tumors (GCT) and normal controls 228A 2	GSM72419.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.raw.1.zip	E-GEOD-3218-processed-data-1627156126.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.processed.1.zip
GSE3218GSM72476	Homo sapiens	germ cell tumor:  Adult Male Germ Cell Tumor. mixed GCT (Teratoma, Teratoma with secondary somatic malignancy)	GSE3218GSM72476 sample	P-G3218-2	GSE3218GSM72476 extract	total_RNA	P-G3218-1	GSE3218GSM72476 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	germ cell tumors (GCT) and normal controls 570A 2	A-AFFY-33	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-33	P-AFFY-6	germ cell tumors (GCT) and normal controls 570A 2	GSM72476.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.raw.1.zip	E-GEOD-3218-processed-data-1627156126.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.processed.1.zip
GSE3218GSM72462	Homo sapiens	germ cell tumor:  Adult Male Germ Cell Tumor. pure GCT (Embryonal Carcinoma)	GSE3218GSM72462 sample	P-G3218-2	GSE3218GSM72462 extract	total_RNA	P-G3218-1	GSE3218GSM72462 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	germ cell tumors (GCT) and normal controls 493A 2	A-AFFY-33	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-33	P-AFFY-6	germ cell tumors (GCT) and normal controls 493A 2	GSM72462.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.raw.1.zip	E-GEOD-3218-processed-data-1627156126.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.processed.1.zip
GSE3218GSM72322	Homo sapiens	germ cell tumor:  Adult Male Germ Cell Tumor. mixed GCT (Seminoma, Teratoma, Yolk Sac)	GSE3218GSM72322 sample	P-G3218-2	GSE3218GSM72322 extract	total_RNA	P-G3218-1	GSE3218GSM72322 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	germ cell tumors (GCT) and normal controls 287B 1	A-AFFY-34	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-34	P-AFFY-6	germ cell tumors (GCT) and normal controls 287B 1	GSM72322.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.raw.1.zip	E-GEOD-3218-processed-data-1627155500.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.processed.1.zip
GSE3218GSM72352	Homo sapiens	germ cell tumor:  Adult Male Germ Cell Tumor. pure GCT (Embryonal Carcinoma)	GSE3218GSM72352 sample	P-G3218-2	GSE3218GSM72352 extract	total_RNA	P-G3218-1	GSE3218GSM72352 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	germ cell tumors (GCT) and normal controls 472A 1	A-AFFY-34	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-34	P-AFFY-6	germ cell tumors (GCT) and normal controls 472A 1	GSM72352.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.raw.1.zip	E-GEOD-3218-processed-data-1627155500.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.processed.1.zip
GSE3218GSM72377	Homo sapiens	germ cell tumor:  Adult Male Germ Cell Tumor. mixed GCT (Seminoma, Embryonal Carcinoma)	GSE3218GSM72377 sample	P-G3218-2	GSE3218GSM72377 extract	total_RNA	P-G3218-1	GSE3218GSM72377 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	germ cell tumors (GCT) and normal controls 586A 1	A-AFFY-34	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-34	P-AFFY-6	germ cell tumors (GCT) and normal controls 586A 1	GSM72377.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.raw.1.zip	E-GEOD-3218-processed-data-1627155500.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.processed.1.zip
GSE3218GSM72416	Homo sapiens	germ cell tumor:  Adult Male Germ Cell Tumor. pure GCT (Yolk Sac Tumor)	GSE3218GSM72416 sample	P-G3218-2	GSE3218GSM72416 extract	total_RNA	P-G3218-1	GSE3218GSM72416 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	germ cell tumors (GCT) and normal controls 221A 2	A-AFFY-33	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-33	P-AFFY-6	germ cell tumors (GCT) and normal controls 221A 2	GSM72416.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.raw.1.zip	E-GEOD-3218-processed-data-1627156126.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.processed.1.zip
GSE3218GSM72431	Homo sapiens	germ cell tumor:  Adult Male Germ Cell Tumor. pure GCT (Yolk Sac Tumor)	GSE3218GSM72431 sample	P-G3218-2	GSE3218GSM72431 extract	total_RNA	P-G3218-1	GSE3218GSM72431 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	germ cell tumors (GCT) and normal controls 289A 2	A-AFFY-33	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-33	P-AFFY-6	germ cell tumors (GCT) and normal controls 289A 2	GSM72431.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.raw.1.zip	E-GEOD-3218-processed-data-1627156126.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3218/E-GEOD-3218.processed.1.zip
