Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [subtype]	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [SUBTYPE]
GSM162194 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: NO	NO_KIDNEY_12	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	NO	P-GSE7023-2	ArrayExpress	GSM162194 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162194 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162194	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162194.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162194_sample_table.txt norm	GSM162194_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	NO
GSM162193 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: NO	NO_KIDNEY_11	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	NO	P-GSE7023-2	ArrayExpress	GSM162193 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162193 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162193	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162193.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162193_sample_table.txt norm	GSM162193_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	NO
GSM162192 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: NO	NO_KIDNEY_10	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	NO	P-GSE7023-2	ArrayExpress	GSM162192 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162192 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162192	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162192.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162192_sample_table.txt norm	GSM162192_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	NO
GSM162191 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: NO	NO_KIDNEY_9	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	NO	P-GSE7023-2	ArrayExpress	GSM162191 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162191 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162191	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162191.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162191_sample_table.txt norm	GSM162191_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	NO
GSM162190 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: NO	NO_KIDNEY_8	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	NO	P-GSE7023-2	ArrayExpress	GSM162190 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162190 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162190	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162190.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162190_sample_table.txt norm	GSM162190_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	NO
GSM162189 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: NO	NO_KIDNEY_7	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	NO	P-GSE7023-2	ArrayExpress	GSM162189 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162189 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162189	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162189.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162189_sample_table.txt norm	GSM162189_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	NO
GSM162188 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: NO	NO_KIDNEY_6	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	NO	P-GSE7023-2	ArrayExpress	GSM162188 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162188 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162188	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162188.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162188_sample_table.txt norm	GSM162188_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	NO
GSM162187 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: NO	NO_KIDNEY_5	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	NO	P-GSE7023-2	ArrayExpress	GSM162187 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162187 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162187	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162187.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162187_sample_table.txt norm	GSM162187_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	NO
GSM162186 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: NO	NO_KIDNEY_4	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	NO	P-GSE7023-2	ArrayExpress	GSM162186 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162186 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162186	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162186.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162186_sample_table.txt norm	GSM162186_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	NO
GSM162185 1	Gene expression data from human normal kidney tissue and human kidney tumor tissues. Tumor subtypes include Papillary types 1, 1.2A, 2A, and 2B.	subtype: NO	NO_KIDNEY_3	Homo sapiens	EFO	http://purl.obolibrary.org/obo/NCBITaxon_9606	NO	P-GSE7023-2	ArrayExpress	GSM162185 extract 1	total RNA	P-GSE7023-3	ArrayExpress	GSM162185 LE 1	R-Phycoerythrin Streptavidin (SAPE), from Molecular Probes, 1 mg/ml  ( we use 6 ul per reaction )	P-GSE7023-4	ArrayExpress	GSM162185	A-GEOD-4866	ArrayExpress	array assay	P-GSE7023-5	ArrayExpress	GSM162185.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.raw.1.zip	P-GSE7023-1	ArrayExpress	GSM162185_sample_table.txt norm	GSM162185_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7023/E-GEOD-7023.processed.1.zip	NO
